izvor,objave,interakcije,doseg,godine_prisutnosti
zeneimediji.hr,95,5352,77297,6
energetika-net.com,94,146,4126,4
skolskiportal.hr,94,1571,27893,6
uss.hr,94,993,21663,5
baranjainfo.hr,93,7821,102357,5
hrturizam.hr,93,1388,27900,6
milosrdnice-zagreb.hr,93,65,1791,6
slavonski-brod.hr,93,2806,44793,3
split.hr,93,189,5355,6
sveti-kriz-zacretje.hr,93,10,450,6
zadarska-zupanija.hr,93,53,1131,6
koprivnica.hr,92,1698,25004,6
ploce.com.hr,92,6466,87504,4
azurtours.hr,91,907,20643,6
lipovljani.hr,91,184,3078,6
riportal.hr,91,8218,672622,3
soundguardian.com,91,2749,40536,4
kgz.hr,90,948,17082,6
lepoglava.hr,90,1388,25074,6
slatina.net,90,2302,43146,6
zg-magazin.com.hr,90,743,24921,4
lisinski.hr,89,2552,45016,6
milosrdnice.hr,89,3,99,4
nacionalniportal.hr,89,860,21960,6
naturala.hr,89,1370,37364,4
samoborskiglasnik.net,89,36,953,4
liberal.hr,88,11762,154532,4
unizg.hr,88,771,58281,6
hbk.hr,87,706,16215,6
mirisicvijeca.info,87,57,27657,3
narodni-list.hr,87,2529,110865,1
slavonikanews.hr,85,906,18558,5
dhk.hr,84,770,13194,6
novagradiska.eu,84,1029,19917,6
obitelj.hr,84,982,19098,5
baptist.hr,83,120,2664,6
hnk-zajc.hr,83,393,6608,6
indeks.hr,83,72,1332,3
kepesujsag.com,83,107,1568,6
mk-veterani.hr,83,53,711,6
mojdoboj.info,83,742,25859,5
hck.hr,82,10374,370938,6
zagrebacka-zupanija.hr,82,58,956,6
zupa-petrusevec.hr,82,601,14697,5
komunistickizlocini.net,81,8335,178200,3
pcnen.com,81,1375,35649,3
bosanski.info,80,58,25728,2
grad-zadar.hr,80,461,9777,6
hrvatskepraviceblog.com,80,19009,340731,4
mediaservis.hr,80,163,1619,6
sbtv.hr,80,0,0,4
xxzmagazin.com,80,2350,55650,3
ex-iskon-pleme.com,79,0,237,6
irb.hr,79,95,8616,6
planetopija.hr,79,687,9231,6
svetijurajnabregu.hr,79,127,2241,6
volimivanic.info,79,4447,58419,6
aktualno.hr,78,1100,33666,1
opusdei.org,78,947,45171,4
dalmacija.hr,77,1065,19962,6
femina.hr,77,1695,44274,6
bacvice.com,76,205,9135,3
civilnodrustvo.hr,76,295,10017,5
dnevno.info,76,0,0,1
hvs.hr,75,1953,27081,6
medias.hr,75,636,17208,3
pomorac.hr,75,2062,40095,5
crna-hronika.info,74,3218,1043539,3
gracanicainfo.com,74,0,22200,1
nsk.hr,73,677,17517,6
fashion.hr,72,4834,87169,6
fightsite.hr,72,7039,100647,5
gornjastubica.hr,72,1244,22446,6
radiosrbac.com,72,0,0,3
sarajevskasehara.com,72,6382,102582,2
sound-report.com,72,287,6399,3
tuhelj.hr,72,2,90,6
tzokrasic.hr,72,2,90,5
visoko.co.ba,72,714,178970,4
zadarskiportal.com,72,99,25839,2
obris.org,71,192,5062,5
soundsetragusa.hr,71,25,459,3
trebinjedanas.com,71,2361,39174,4
zadarnews.hr,71,1694,34378,3
zet.hr,71,3189,105378,6
bnm-portal.com,70,1454,28980,6
jastrebarsko.hr,70,46,1548,5
kfbih.com,70,248,3794,3
libela.org,70,2735,59918,3
prvii.info,70,84,4690,2
dubrovacka-biskupija.hr,69,2225,36150,2
istra-istria.hr,69,306,6966,6
nasabujstina.com,69,50,1509,4
nbs-zg.hr,69,1027,12429,3
nezavisniportal.info,69,391,15390,4
sasava-ja.com,69,3037,47079,4
dkd.hr,68,344,5634,6
labin.com,68,0,680,3
licegrada.hr,68,8,352,3
stizu-me-sjecanja.com,68,4247,70677,4
banjaluka.net,67,1238,216071,3
cetinjskilist.com,66,2360,35850,5
evoprice.net,66,10795,153117,3
gloriaglam.hr,66,3090,50886,6
mojnovac.hr,66,2573,60129,3
relaxino.com,66,213,7191,6
krasic.hr,65,0,0,6
sagud.xyz,65,3892,56826,3
showbuzz.hr,65,5290,447091,5
biscani.net,64,3321,67911,4
iceipice.hr,64,704,18396,6
krugaresnica.info,64,862,31206,2
radio-busovaca.eu,64,2088,52932,2
uniri.hr,64,979,20727,6
zeljanazovko.eu,64,403,7569,6
ivijesti.hr,63,2603,54261,3
radnickaprava.org,63,931,18018,4
srebrenickaprica.com,63,5256,74205,2
gloryhr.info,62,3,135,5
jakovlje.hr,62,0,558,6
ofs.hr,62,248,6632,6
vbz.hr,62,948,24928,6
livnovine.com,61,1856,28515,1
akademski.hr,60,899,38223,2
imperij.com,60,6669,325318,4
suvremena.hr,60,79,1467,6
unin.hr,60,723,10287,6
zenskirecenziraj.com,60,6638,90936,3
4brigada-zng.hr,59,3272,37638,6
music-box.hr,59,2210,40491,5
svijet-medija.hr,59,58,5052,5
topdestinacije.hr,59,2,90,6
zagrebancija.com,59,214,8399,6
ivanec.hr,58,215,2565,6
obz.hr,58,88,1570,5
predsjednik.hr,58,3990,56094,6
sm-provincijalat.hr,58,142,1872,6
usk-vijesti.info,58,578,37902,2
24kroz7.com,57,1402,47304,2
novidani.com,57,31718,523107,5
osijek.hr,57,141,3654,6
pivnica.net,57,827,17241,3
unios.hr,57,201,9783,6
borak.tv,56,1791,153750,1
cromoda.com,56,144,3378,6
generacija.hr,56,432,11936,2
recepti-i-zdravlje.info,56,175,6701,3
rsminfo.hr,56,407,27465,2
arhivanalitika.hr,55,7192,119022,6
donjadubrava.hr,55,60,936,5
estetica.hr,55,1388,27697,6
kresevo.info,55,11467,414717,5
radiotg.com,55,526,26256,2
startnews.hr,55,16304,225387,5
b-portal.hr,54,550,12078,3
ekosspiritus.hr,54,48,720,6
hercegovackiportal.com,54,5388,80928,5
mostarski.info,54,24,1134,2
regionalexpress.hr,54,2451,45297,1
suvremenazena.hr,54,2452,39150,6
svjetskiputnik.hr,54,923,24586,6
crnemambe.hr,53,2715,45333,2
globalnovine.eu,53,377,9621,4
jabucnjak.hr,53,0,159,6
klfm.org,53,192,4463,5
radio-rama.info,53,2298,49344,2
wixsite.com,53,1408,34055,2
zadarskanadbiskupija.hr,53,256,4104,2
enciklopedija.hr,52,14300,415836,5
pozeska-biskupija.hr,52,866,14414,5
preporucamo.com,52,211,5969,5
spectatorblog.net,52,1681,33057,6
zakon.hr,52,200,12762,5
blato.hr,51,246,9126,6
poslovniturizam.com,51,374,5850,4
rockomotiva.com,51,3210,48777,4
una.world,51,168,5319,1
zagreb.hr,51,1085,24141,5
amazonke.com,50,4010,63172,5
elegant.hr,50,8762,195947,6
medjugorje.hr,50,238,5838,5
oazaznanja.com,50,4572,77550,2
prigorskiradio.hr,50,1360,39804,2
rastimougospodinu.com,50,67439,893229,3
belisce.hr,49,1780,26160,5
bilten.org,49,5570,88508,5
cmc.com.hr,49,54,913,6
dnevnik.in,49,425,24033,1
green.hr,49,3836,56979,6
itgirl.hr,49,1167,14643,6
kalionline.net,49,2393,30585,6
radiokotor.info,49,326,7316,3
zadardanas.com,49,1399,27207,3
autoportal.hr,48,1206,17370,4
fraktura.hr,48,1726,32472,4
hps.hr,48,410,6246,5
prijevozi.hr,48,77,15183,2
rodoslovlje.hr,48,198,3318,6
stav.com.hr,48,0,14400,3
adiva.hr,47,464,11907,6
lavoce.hr,47,278,5746,3
lovas.hr,47,19,783,6
monitor.hr,47,6,9396,6
pozitivmedia.info,47,207,5895,4
progressive.hr,47,10,14262,2
ri-nadbiskupija.hr,47,6965,103863,4
sib.hr,47,6265,492682,5
tragmedia.com,47,62,14892,1
ufokus.hr,47,60,1008,4
entrio.hr,46,4537,143457,5
